Discharge Time (s),Max. Voltage Dischar. (V),Min. Voltage Charg. (V),Time at 4.15V (s),Time constant current (s),Charging time (s),RUL
1068.96,4.015,2.721,308.99,1341.19,2329.49,14.7
1205.31,4.073,2.772,422.79,1582.97,2567.95,69.1
1106.81,4.044,2.741,325.48,1371.35,2431.62,30.3
1369.18,4.145,2.902,540.46,1766.78,2842.1,118.4
1187.6,4.056,2.74,398.68,1512.82,2605.9,59.5
1482.29,4.158,3.001,629.24,1992.57,3014.93,165.9
1279.76,4.155,2.897,490.87,1729.68,2785.01,109.3
1444.12,4.149,2.924,552.63,1946.69,2846.53,140.0
1065.44,4.026,2.725,326.8,1391.52,2416.49,23.4
1411.89,4.133,2.974,585.78,1932.48,2838.5,146.7
1413.51,4.184,2.956,619.79,1948.25,2977.6,156.9
1240.24,4.095,2.831,413.81,1551.26,2639.98,83.3
1294.06,4.121,2.86,476.03,1715.22,2812.35,103.5
1333.92,4.211,2.944,532.52,1852.6,2849.1,130.3
1100.76,4.015,2.769,342.37,1438.02,2410.3,30.5
1226.81,4.113,2.811,435.95,1624.21,2649.5,85.9
1257.1,4.085,2.802,415.04,1508.78,2565.12,68.4
1063.02,4.008,2.72,318.34,1368.22,2398.3,25.7
1164.5,4.084,2.776,421.68,1486.31,2568.54,63.1
1022.65,4.002,2.668,304.12,1362.99,2330.18,12.5
1059.17,4.014,2.686,305.09,1309.89,2339.29,5.4
1063.18,4.059,2.662,321.27,1353.94,2335.15,23.8
1461.19,4.195,3.017,647.03,1993.59,2981.03,163.8
1279.85,4.1,2.862,450.76,1704.36,2661.84,93.9
1446.32,4.214,3.047,633.79,1996.95,2922.53,164.2
1221.37,4.109,2.792,412.84,1635.9,2642.11,74.1
1194.42,4.039,2.751,406.61,1464.12,2461.27,53.7
1255.16,4.088,2.794,428.46,1658.0,2687.85,86.5
1225.01,4.096,2.763,453.34,1537.15,2636.63,75.3
1081.84,4.011,2.734,293.62,1406.27,2358.84,18.9
1350.5,4.106,2.806,508.34,1749.09,2743.18,109.3
1137.53,4.047,2.688,338.4,1413.17,2478.6,37.5
1308.02,4.134,2.872,492.86,1676.91,2749.01,105.7
1335.11,4.12,2.862,498.42,1717.98,2797.09,110.9
1057.51,4.024,2.721,315.58,1372.94,2454.6,26.7
1061.12,3.993,2.706,302.61,1326.31,2406.54,11.4
1355.07,4.132,2.967,547.64,1831.27,2895.56,132.9
1209.53,4.077,2.798,438.08,1576.44,2636.12,78.7
963.34,4.005,2.708,285.4,1352.43,2351.4,10.8
1507.14,4.169,3.132,654.73,1945.02,2991.62,169.1
1024.15,3.995,2.697,313.34,1334.65,2349.11,10.8
1363.23,4.138,2.924,517.16,1773.04,2848.97,118.5
1500.58,4.22,2.984,622.69,1987.08,2958.43,167.2
1145.54,4.035,2.705,381.02,1459.19,2528.8,41.4
1048.41,3.996,2.698,332.1,1354.07,2399.55,25.0
1092.64,4.012,2.73,308.06,1336.93,2449.14,21.5
1198.67,4.043,2.809,383.17,1476.04,2555.39,52.3
1077.26,4.023,2.691,287.75,1330.55,2389.88,18.1
1353.73,4.129,2.9,535.28,1758.22,2799.46,118.0
1046.34,3.95,2.767,333.53,1342.06,2321.37,11.5
1229.47,4.171,2.858,459.85,1634.49,2688.17,87.1
1517.17,4.202,3.064,633.44,1998.32,3035.62,169.4
1360.22,4.163,2.948,538.03,1863.85,2925.78,138.6
1284.39,4.089,2.854,507.8,1698.46,2723.77,105.0
1103.1,4.026,2.736,374.53,1513.91,2616.31,52.8
1281.61,4.12,2.86,484.83,1731.72,2729.95,106.4
1267.21,4.108,2.802,471.46,1644.11,2658.99,90.1
1215.34,4.094,2.791,408.7,1537.36,2602.15,73.0
1071.89,4.023,2.674,333.08,1405.59,2404.84,23.1
1441.35,4.153,2.908,599.5,1932.26,2864.68,150.8
1166.79,4.035,2.785,429.64,1605.28,2579.55,77.0
1088.65,4.03,2.739,365.5,1460.69,2404.82,33.9
1158.45,4.057,2.738,390.03,1550.83,2578.98,63.2
1180.61,4.052,2.8,404.66,1561.37,2660.63,71.0
1420.12,4.181,2.93,570.6,1851.9,2854.82,140.9
1333.94,4.113,2.906,516.37,1779.82,2812.22,125.0
1359.05,4.164,2.93,563.17,1831.4,2809.41,131.0
969.08,3.965,2.73,299.29,1315.52,2358.27,2.9
1190.68,4.081,2.803,413.93,1593.6,2612.83,71.3
1201.83,4.11,2.794,423.4,1569.51,2683.02,82.3
1026.53,3.988,2.697,248.33,1319.64,2297.02,4.2
1102.79,4.079,2.815,349.12,1445.65,2495.72,44.9
1372.03,4.188,2.927,541.92,1798.69,2826.21,129.5
1069.7,4.025,2.719,295.07,1381.61,2408.59,24.2
1297.0,4.114,2.814,494.47,1673.57,2722.39,91.5
1119.35,4.057,2.716,353.7,1386.8,2444.58,37.4
975.7,4.005,2.654,295.71,1293.76,2314.6,3.0
1086.71,4.05,2.792,353.43,1393.04,2453.11,41.8
1487.83,4.184,3.05,650.04,2004.99,3069.69,165.9
1367.99,4.125,2.878,558.1,1814.2,2825.64,136.5
1403.13,4.164,3.013,629.16,1974.31,2995.95,163.2
1265.9,4.141,2.843,460.69,1604.62,2595.7,83.4
1079.79,4.021,2.697,331.9,1335.07,2415.73,19.5
1274.43,4.101,2.798,461.6,1599.13,2645.22,93.6
1200.94,4.111,2.806,457.91,1549.58,2633.98,77.8
1424.87,4.153,2.957,579.6,1877.77,2905.52,143.7
1039.31,4.023,2.694,304.43,1316.46,2386.49,17.6
1237.46,4.095,2.787,441.66,1606.33,2679.0,83.5
1055.8,4.032,2.733,331.96,1355.78,2442.61,26.4
1193.63,4.052,2.727,364.96,1491.33,2513.34,55.9
1318.15,4.126,2.872,543.26,1763.06,2839.59,125.6
1257.27,4.074,2.798,467.06,1592.81,2651.59,81.4
1180.21,4.054,2.796,414.39,1527.67,2613.33,64.5
1175.65,4.074,2.766,416.49,1549.75,2529.47,67.7
1222.71,4.056,2.813,436.59,1540.45,2635.81,78.6
1400.8,4.13,2.944,540.7,1836.53,2856.28,133.7
1474.26,4.18,2.949,586.6,1883.17,2910.92,151.8
1482.81,4.188,3.109,632.12,1924.31,3011.62,162.5
1361.2,4.159,2.952,550.04,1873.36,2825.33,134.0
1152.91,4.056,2.767,358.06,1515.08,2562.93,54.3
1377.32,4.185,2.864,510.76,1778.86,2757.39,117.3
1241.85,4.085,2.774,428.38,1572.94,2669.63,75.0
1147.0,4.037,2.793,368.68,1433.55,2510.0,44.0
1432.19,4.169,2.942,566.84,1921.98,2828.39,143.1
1049.83,4.02,2.652,294.2,1308.66,2395.44,7.5
1474.35,4.178,2.919,612.03,1897.0,2954.93,153.4
1208.09,4.101,2.8,411.09,1566.8,2636.34,79.0
1272.04,4.132,2.855,484.3,1733.9,2726.11,108.7
1318.89,4.123,2.831,504.39,1730.51,2732.61,112.4
1421.31,4.18,2.921,589.24,1949.85,2948.09,152.3
1279.27,4.156,2.792,490.76,1726.34,2689.69,108.6
1276.18,4.124,2.821,524.28,1671.4,2708.83,104.8
1106.03,3.985,2.69,280.31,1379.19,2396.56,12.3
1250.36,4.093,2.834,472.16,1607.07,2614.89,88.6
1087.92,3.98,2.715,332.6,1342.8,2369.64,26.4
1326.88,4.148,2.92,517.62,1796.65,2840.81,125.6
1197.85,4.124,2.83,458.7,1647.18,2656.31,87.6
1307.36,4.106,2.882,513.51,1729.47,2847.56,116.0
1069.62,4.003,2.725,313.89,1327.63,2339.9,8.0
1059.75,4.029,2.663,318.05,1320.66,2318.63,15.3
1361.42,4.163,2.864,530.32,1856.72,2850.89,122.1
1064.6,4.032,2.774,299.88,1336.98,2319.06,13.2
1031.01,3.969,2.645,321.77,1293.88,2331.3,13.0
1056.39,4.004,2.681,281.66,1266.13,2319.14,3.0
1459.81,4.161,3.028,609.2,1981.0,2976.56,162.6
1392.64,4.125,2.832,507.57,1774.86,2835.25,125.6
1179.85,4.081,2.745,373.89,1517.46,2598.26,60.7
1098.26,4.056,2.814,385.59,1539.12,2418.77,51.1
1148.46,4.079,2.772,385.79,1536.44,2519.79,60.1
1332.36,4.134,2.887,539.77,1845.01,2887.71,131.9
1347.28,4.159,2.866,498.88,1801.97,2732.35,112.8
1093.27,4.044,2.71,350.59,1380.51,2445.36,32.3
1033.4,4.045,2.776,344.25,1395.22,2493.9,30.4
1066.44,3.99,2.678,314.53,1335.47,2382.85,17.6
1304.22,4.153,2.844,495.96,1722.86,2756.93,112.6
1334.47,4.144,2.855,541.22,1811.76,2831.95,130.2
1170.84,4.034,2.737,361.32,1444.49,2552.23,45.8
1027.93,4.008,2.686,276.57,1273.31,2274.3,4.5
1042.97,4.02,2.74,305.73,1324.85,2450.43,14.9
1471.98,4.176,2.995,621.14,1955.38,2968.82,164.6
1104.67,4.094,2.768,378.67,1489.0,2507.41,50.9
1341.51,4.188,2.904,556.26,1794.43,2809.21,131.0
1331.71,4.134,2.79,507.76,1745.83,2697.78,106.6
1170.2,4.08,2.754,406.12,1561.76,2485.57,65.5
1103.32,4.041,2.709,347.93,1430.66,2509.77,35.8
1015.57,3.986,2.763,306.34,1346.26,2316.32,21.5
1261.78,4.122,2.86,486.55,1709.53,2734.57,104.9
1392.22,4.155,2.908,536.0,1823.4,2827.68,131.9
1318.76,4.114,2.725,472.94,1730.33,2767.97,109.8
1296.59,4.096,2.76,451.21,1606.14,2599.37,90.6
1067.35,3.952,2.718,288.33,1310.08,2319.26,8.1
1476.55,4.171,3.05,644.79,1985.25,2997.29,164.7
1401.56,4.176,2.892,546.99,1888.67,2869.2,136.0
1133.4,4.087,2.754,414.53,1447.24,2492.76,50.5
1540.11,4.177,3.04,633.64,1948.85,2990.34,166.6
1316.87,4.121,2.845,481.15,1728.06,2796.62,102.7
1282.69,4.135,2.822,466.26,1638.93,2758.07,99.4
1368.02,4.137,2.917,552.01,1850.82,2866.1,127.4
1432.81,4.174,2.954,563.72,1890.73,2892.75,138.2
1330.19,4.128,2.829,488.76,1756.26,2772.06,111.9
1108.48,4.042,2.679,293.36,1319.02,2382.06,22.6
1107.08,4.036,2.74,396.0,1504.43,2552.0,58.2
1471.4,4.163,2.991,627.21,1942.66,3029.19,157.8
1098.15,4.044,2.747,355.57,1438.94,2510.48,39.0
1221.43,4.071,2.796,395.64,1549.7,2558.21,63.9
1244.2,4.08,2.818,414.88,1553.13,2529.04,74.0
1209.83,4.094,2.802,433.92,1612.68,2648.1,75.3
1332.08,4.101,2.85,484.95,1722.3,2772.67,104.6
1512.75,4.161,3.051,641.03,1971.13,2939.11,160.4
1119.96,4.031,2.74,354.03,1434.63,2457.72,41.7
1128.53,4.009,2.731,316.88,1371.74,2327.07,21.5
1098.41,4.027,2.74,347.51,1347.37,2505.82,34.4
1431.91,4.202,2.956,620.17,1924.5,2905.66,150.9
1331.93,4.141,2.849,516.91,1780.66,2767.98,110.1
1129.37,4.062,2.791,369.34,1496.06,2470.73,49.3
1401.06,4.166,2.92,563.1,1878.34,2815.7,138.9
1458.61,4.162,2.936,570.04,1916.19,2964.55,146.6
1415.82,4.151,2.916,592.14,1917.95,2878.97,144.1
1412.44,4.159,2.995,586.64,1931.19,2914.21,156.3
1132.39,4.03,2.728,384.77,1478.86,2608.25,43.6
1349.25,4.148,2.906,555.86,1826.12,2871.39,128.6
1240.69,4.064,2.802,418.59,1597.91,2603.2,78.8
1430.31,4.17,2.923,598.28,1918.74,2920.94,143.3
1389.57,4.139,2.843,540.55,1771.84,2749.66,124.1
1400.62,4.145,2.874,559.11,1809.03,2833.84,132.2
1342.8,4.151,2.832,499.32,1667.89,2731.08,111.9
1073.81,3.979,2.695,344.06,1370.11,2458.97,31.0
1280.07,4.097,2.835,439.42,1643.8,2755.44,93.1
1540.59,4.15,3.113,643.92,1986.56,2921.68,167.4
1447.8,4.192,2.981,611.42,1964.88,3031.2,159.4
1079.27,4.015,2.685,291.91,1334.19,2383.09,8.3
1071.39,3.999,2.705,321.58,1349.52,2393.86,28.9
1049.75,3.994,2.741,312.38,1370.29,2372.62,23.3
1358.88,4.109,2.897,550.63,1761.09,2783.56,123.7
1417.81,4.163,2.923,547.99,1819.91,2840.22,139.2
1128.97,4.029,2.697,353.07,1432.37,2432.88,37.1
1216.81,4.091,2.781,429.22,1631.65,2590.09,86.5
1423.07,4.159,2.94,599.08,1892.04,2882.76,143.1
1337.89,4.125,2.893,540.5,1813.09,2846.67,124.8
1221.37,4.127,2.82,438.56,1640.51,2664.31,92.6
1259.17,4.12,2.856,482.81,1722.93,2731.78,100.8
1223.3,4.074,2.774,436.66,1602.86,2709.37,86.9
1156.49,4.039,2.763,377.28,1449.07,2462.66,51.3
1298.62,4.092,2.835,448.25,1683.52,2676.01,96.5
1295.46,4.163,2.841,534.79,1769.33,2726.64,117.4
1438.66,4.188,2.935,563.39,1877.85,2856.86,148.6
1276.04,4.122,2.872,483.42,1698.91,2805.54,108.5
1385.58,4.184,2.864,529.5,1828.37,2815.96,129.6
1067.53,4.054,2.795,336.16,1393.68,2449.19,28.1
1193.26,4.083,2.814,422.75,1565.56,2639.36,79.0
1040.56,3.985,2.687,284.0,1266.11,2359.07,2.6
1106.07,4.035,2.734,347.8,1418.13,2494.34,42.7
1343.83,4.124,2.908,510.97,1727.35,2816.75,123.8
1439.89,4.233,3.05,642.82,2034.55,2935.05,168.6
1081.04,3.992,2.697,292.79,1352.25,2391.61,17.8
1211.68,4.092,2.824,381.48,1588.6,2593.21,68.9
1390.59,4.172,2.901,571.38,1837.21,2825.08,136.2
1063.86,4.028,2.736,325.4,1386.99,2377.22,35.5
1295.15,4.143,2.802,486.29,1638.09,2705.77,94.8
1338.51,4.113,2.894,555.46,1769.64,2865.96,124.9
1283.89,4.118,2.862,500.92,1693.37,2666.51,105.1
1152.91,4.021,2.778,321.99,1358.77,2442.56,32.8
1152.18,4.085,2.74,424.98,1509.64,2471.93,61.1
1400.37,4.162,2.865,519.87,1816.83,2877.62,133.5
1278.54,4.072,2.816,450.87,1689.9,2742.76,94.7
1028.68,4.017,2.67,298.14,1298.82,2324.12,1.9
1376.84,4.16,2.898,556.99,1805.4,2861.03,129.6
1040.48,3.978,2.71,283.14,1316.83,2350.45,7.0
1368.58,4.14,2.96,527.6,1772.54,2786.8,127.0
1100.08,4.008,2.718,340.27,1377.2,2453.55,35.2
1514.29,4.188,2.949,629.61,1964.59,2970.04,162.9
1142.75,4.071,2.765,390.38,1533.16,2563.89,63.2
1182.29,4.053,2.772,408.47,1497.06,2557.02,56.3
1098.88,4.013,2.69,316.84,1419.27,2428.54,26.2
1164.54,4.023,2.763,398.52,1506.97,2520.1,52.6
1459.59,4.181,2.959,600.89,1935.74,2889.55,149.2
1495.62,4.161,3.083,663.61,1980.55,3017.46,169.4
1129.01,4.069,2.796,375.12,1540.33,2587.16,63.2
1211.57,4.049,2.791,440.94,1556.13,2631.09,76.8
1324.66,4.143,2.899,544.6,1765.72,2776.3,123.0
1418.57,4.176,2.907,588.98,1921.94,2876.51,150.8
1252.67,4.123,2.808,491.54,1665.39,2748.74,101.2
1174.57,4.09,2.768,383.32,1523.04,2549.89,67.2
1181.46,4.098,2.753,405.72,1574.67,2586.26,70.7
1276.31,4.104,2.872,536.53,1744.99,2729.23,118.6
1035.62,3.991,2.677,282.35,1310.25,2344.42,1.5
1352.54,4.161,2.832,485.07,1705.15,2690.15,105.7
1184.98,4.068,2.795,414.26,1516.14,2509.69,61.1
1382.26,4.14,2.915,530.22,1849.47,2819.17,135.2
1053.43,4.009,2.674,307.86,1336.91,2403.27,16.7
1270.8,4.106,2.817,475.98,1696.93,2709.78,100.4
1231.1,4.068,2.825,425.18,1583.13,2620.5,82.3
1307.59,4.143,2.859,518.5,1646.72,2821.29,109.6
1022.13,4.016,2.737,288.75,1279.77,2388.34,12.0
1319.3,4.086,2.858,460.38,1668.85,2633.19,99.0
1230.89,4.107,2.815,429.76,1683.71,2665.38,95.9
1285.62,4.097,2.869,483.19,1733.15,2620.64,95.8
1286.42,4.085,2.886,477.88,1681.95,2709.68,103.0
1373.43,4.104,2.812,506.45,1734.03,2819.86,115.3
1401.6,4.134,2.919,560.87,1860.22,2876.07,137.0
1122.02,4.046,2.731,382.75,1468.11,2494.56,46.6
1397.6,4.154,2.919,596.76,1873.0,2860.97,140.4
1238.17,4.076,2.783,417.42,1615.44,2670.33,85.2
1019.62,3.999,2.675,298.96,1270.88,2307.77,14.0
1021.39,4.018,2.726,283.57,1323.89,2358.47,10.9
1115.46,4.068,2.728,382.68,1504.96,2553.81,57.5
1359.33,4.175,2.911,554.26,1787.23,2801.42,133.6
1344.33,4.134,2.836,498.1,1794.35,2764.16,120.6
1391.88,4.188,2.948,562.71,1859.6,2933.61,134.3
1196.92,4.106,2.814,443.64,1653.6,2691.49,88.4
1205.95,4.073,2.813,434.24,1569.21,2550.15,75.4
1091.8,4.024,2.725,327.11,1384.25,2392.27,25.9
1153.25,4.035,2.754,358.27,1475.21,2541.85,56.5
1190.61,4.076,2.791,429.57,1535.44,2706.5,74.3
1042.67,4.018,2.751,289.15,1335.04,2418.79,16.0
1095.76,4.05,2.709,330.7,1382.45,2514.62,38.3
1270.4,4.108,2.762,476.05,1691.87,2741.15,102.1
1360.86,4.199,2.864,530.98,1796.28,2779.37,125.3
1556.76,4.196,3.047,622.94,1974.19,3062.66,169.7
1444.06,4.152,3.022,617.49,2006.34,2988.15,158.7
1300.68,4.15,2.848,496.65,1710.57,2806.36,109.6
1199.14,4.091,2.811,413.93,1574.26,2673.61,72.2
1288.22,4.129,2.852,470.16,1718.08,2813.23,108.5
1410.26,4.146,2.909,558.1,1863.65,2852.25,133.8
1006.13,4.024,2.717,327.26,1347.93,2413.86,21.0
1181.82,4.109,2.827,391.69,1521.81,2605.64,70.3
1432.18,4.171,2.94,562.74,1889.0,2927.09,142.9
1175.58,4.042,2.809,414.67,1496.24,2593.66,65.9
1252.69,4.042,2.861,494.46,1651.13,2713.16,97.6
1292.12,4.122,2.83,474.31,1672.9,2713.91,100.3
1116.23,4.01,2.725,331.19,1388.61,2440.98,32.2
1178.2,4.065,2.759,398.45,1515.68,2577.91,62.2
1140.18,4.045,2.802,406.47,1493.8,2599.19,57.5
1038.78,3.979,2.664,278.71,1300.29,2303.8,5.4
1016.51,3.981,2.67,283.64,1274.8,2343.46,5.1
1425.99,4.151,2.922,567.75,1883.43,2898.21,141.6
1169.55,4.064,2.714,344.65,1438.47,2572.33,47.1
1181.65,4.111,2.796,463.46,1599.36,2653.64,88.6
1146.75,4.029,2.788,378.18,1447.61,2492.07,51.5
1423.45,4.166,3.019,592.83,1941.61,3019.57,160.0
1187.38,4.053,2.732,361.29,1483.31,2517.25,44.8
1192.69,4.102,2.812,443.74,1573.06,2594.33,73.6
1448.2,4.194,3.015,597.23,1887.87,2954.74,148.5
1411.99,4.147,2.945,603.85,1876.97,2816.35,143.3
1074.2,4.05,2.77,330.03,1367.59,2445.87,32.5
1368.78,4.123,2.942,577.57,1797.13,2876.28,136.6
1257.58,4.083,2.787,448.66,1564.66,2654.06,78.4
1253.7,4.102,2.809,436.76,1580.63,2614.16,82.6
1120.37,3.978,2.731,316.3,1440.15,2379.27,23.6
1051.04,4.05,2.682,323.43,1390.31,2439.51,14.6
1359.69,4.17,2.806,540.2,1849.39,2814.13,124.0
1229.63,4.108,2.782,457.06,1585.33,2662.69,84.9
1200.62,4.063,2.725,427.55,1631.66,2586.94,74.8
1327.26,4.142,2.863,531.54,1771.85,2777.86,124.3
1374.27,4.167,2.849,546.22,1869.62,2816.43,130.4
1062.86,4.002,2.748,324.8,1398.55,2477.72,27.9
1303.38,4.115,2.807,491.42,1674.92,2708.49,104.1
1076.83,4.038,2.732,320.37,1419.09,2404.78,23.9
1371.93,4.118,2.917,545.5,1858.08,2893.98,128.0
1357.82,4.135,2.879,491.75,1707.35,2850.6,112.0
1474.75,4.156,2.958,617.48,1976.06,2911.47,162.7
1063.76,3.987,2.735,312.34,1266.79,2285.15,12.7
1091.24,3.993,2.712,306.0,1305.12,2333.79,10.6
1169.21,4.06,2.774,362.41,1458.41,2473.06,48.7
1156.24,4.032,2.8,382.89,1443.57,2517.57,45.2
1113.21,4.045,2.766,345.2,1494.02,2488.09,42.7
1453.59,4.167,2.938,614.35,1887.34,2930.35,154.2
1089.06,4.033,2.762,365.2,1440.72,2525.44,43.2
1144.44,4.073,2.703,366.34,1485.59,2420.22,47.0
1375.81,4.127,2.896,564.01,1776.21,2810.23,129.3
1214.5,4.1,2.779,450.33,1561.73,2620.11,77.0
1403.75,4.153,2.905,534.94,1862.18,2888.07,132.3
1013.17,3.993,2.656,268.42,1362.85,2365.45,12.0
1272.89,4.069,2.763,432.18,1602.41,2666.76,83.4
1052.93,3.975,2.681,278.79,1327.15,2333.76,6.7
1040.48,3.99,2.694,295.21,1367.4,2364.27,11.6
1444.23,4.177,2.961,635.16,1915.34,2923.93,154.2
1086.24,4.032,2.76,364.64,1395.82,2407.62,24.5
1291.81,4.096,2.83,441.75,1635.16,2683.65,91.0
1198.2,4.072,2.795,415.67,1520.07,2656.58,70.5
1169.68,4.062,2.755,393.46,1515.7,2572.44,59.7
1444.78,4.189,2.928,610.14,1915.15,2922.89,153.1
1070.16,4.009,2.692,269.68,1265.84,2360.76,4.7
1310.21,4.102,2.915,524.87,1734.06,2777.07,113.2
1478.73,4.187,3.028,646.85,1964.74,2998.29,163.8
1304.01,4.133,2.86,459.15,1676.4,2683.67,95.7
1468.38,4.16,3.033,639.83,1982.16,2976.2,159.3
1066.41,4.004,2.715,277.18,1345.01,2379.52,9.8
1176.49,4.075,2.792,389.6,1563.55,2547.14,71.8
1121.59,4.034,2.715,365.71,1438.36,2482.04,45.0
1391.1,4.176,2.88,539.74,1834.41,2808.6,124.5
1472.58,4.197,3.033,638.99,1982.45,2974.09,166.8
1121.33,4.075,2.754,377.18,1434.35,2453.87,44.4
1320.95,4.128,2.815,492.68,1742.22,2664.37,111.6
1074.74,4.042,2.714,360.2,1357.31,2497.13,34.5
1259.63,4.098,2.84,480.11,1657.71,2616.27,96.5
1223.49,4.077,2.777,458.93,1582.29,2713.49,79.4
1485.45,4.202,3.003,610.62,1954.54,2971.27,165.3
1323.49,4.127,2.818,477.47,1714.84,2705.53,103.8
1205.61,4.076,2.759,377.58,1549.43,2495.31,60.1
1042.21,4.023,2.64,328.37,1405.89,2333.72,20.3
1082.11,3.996,2.697,351.4,1365.32,2389.14,26.6
1128.2,4.022,2.765,345.07,1422.26,2481.79,39.1
1160.55,4.061,2.752,367.78,1428.03,2547.79,43.4
1435.52,4.13,2.953,605.18,1900.94,2835.39,144.8
1275.21,4.114,2.772,471.64,1612.78,2714.5,95.8
1266.04,4.098,2.803,463.15,1629.62,2600.49,89.5
1080.74,4.032,2.708,287.17,1364.31,2364.32,20.4
1399.51,4.179,2.96,611.12,1873.37,2923.98,146.4
1354.65,4.129,2.916,525.53,1775.35,2769.31,123.2
1080.79,3.991,2.73,343.25,1353.78,2431.06,12.4
1336.88,4.129,2.859,511.18,1775.31,2829.97,120.6
1262.47,4.116,2.804,467.23,1691.76,2707.98,92.9
1044.06,3.962,2.747,319.64,1382.53,2356.32,14.8
1160.14,4.09,2.785,391.45,1610.29,2595.89,78.5
1231.15,4.075,2.771,465.14,1604.61,2630.09,82.9
1093.08,4.03,2.717,343.35,1437.5,2444.47,29.0
1456.81,4.196,3.044,602.93,1882.04,2972.6,160.8
1388.34,4.135,2.913,588.79,1837.76,2864.16,144.6
1300.09,4.126,2.85,513.87,1771.24,2744.29,114.1
1239.0,4.091,2.771,428.39,1671.46,2571.34,79.1
1245.29,4.079,2.812,403.6,1581.62,2690.36,70.6
1347.46,4.125,2.865,500.26,1740.29,2725.16,111.0
1226.56,4.081,2.849,473.74,1643.31,2622.06,93.2
1063.46,3.983,2.747,313.97,1337.13,2266.24,11.5
1227.5,4.071,2.766,448.75,1668.15,2640.3,87.6
1379.27,4.171,2.896,568.09,1873.64,2883.33,137.3
1206.89,4.085,2.783,427.4,1596.93,2626.99,78.6
1055.51,4.001,2.7,284.13,1344.59,2351.36,9.8
1407.12,4.121,2.924,555.34,1845.09,2882.51,133.9
1098.44,4.033,2.716,332.13,1429.62,2481.53,35.0
1124.01,4.058,2.724,346.31,1482.83,2460.48,44.7
1096.68,3.989,2.751,295.6,1361.3,2444.18,28.8
1172.45,4.049,2.778,378.56,1502.89,2547.14,56.8
1396.96,4.118,2.906,555.7,1817.1,2809.45,128.9
1215.32,4.091,2.749,469.5,1602.37,2728.98,88.8
1102.92,4.016,2.768,350.94,1384.03,2429.44,35.6
1405.61,4.182,2.961,575.88,1886.82,2892.94,149.4
1431.99,4.178,2.952,593.76,1938.19,2898.18,149.6
1422.71,4.199,2.927,574.84,1894.18,2948.11,148.1
1116.1,4.04,2.721,383.55,1443.92,2526.66,41.4
1194.63,4.092,2.767,420.65,1598.56,2679.8,77.3
1454.37,4.186,2.989,635.71,2007.25,3020.63,167.5
1323.23,4.13,2.878,564.09,1840.21,2839.58,131.5
1024.49,4.014,2.645,291.15,1299.19,2380.98,5.6
1032.52,4.03,2.699,318.57,1318.24,2382.7,12.0
1203.78,4.102,2.763,414.14,1631.25,2629.39,79.4
1482.54,4.184,2.997,610.43,1914.91,2918.99,154.7
1235.38,4.084,2.77,465.92,1693.21,2678.01,92.0
1272.38,4.118,2.843,403.97,1605.67,2638.16,85.1
1100.6,4.025,2.735,303.94,1340.81,2411.0,18.8
1267.08,4.169,2.826,494.36,1760.3,2756.51,112.0
1404.53,4.14,2.923,572.15,1934.05,2897.37,139.9
1171.35,4.088,2.749,397.04,1480.83,2598.38,65.3
1304.7,4.164,2.922,556.19,1853.86,2846.33,132.1
1443.96,4.186,3.076,630.29,1986.56,2957.49,164.0
1121.31,4.061,2.767,361.11,1402.36,2423.46,35.4
1299.83,4.109,2.794,484.27,1652.03,2670.16,89.4
1161.33,4.032,2.755,347.96,1437.46,2527.24,49.5
1394.71,4.154,2.958,559.33,1817.13,2803.22,135.0
1275.51,4.093,2.847,489.23,1693.6,2640.12,98.6
1346.66,4.114,2.881,484.32,1692.39,2745.02,108.2
1443.02,4.172,2.934,565.28,1849.27,2825.47,135.8
1173.91,4.094,2.781,401.35,1530.01,2628.92,67.9
1402.71,4.187,2.978,596.64,1920.61,2993.79,155.7
1201.63,4.088,2.782,440.95,1680.56,2640.6,91.1
1115.24,4.032,2.698,292.77,1349.79,2361.16,27.7
1334.72,4.151,2.845,521.62,1767.1,2814.67,118.6
1391.42,4.117,2.902,562.6,1855.58,2866.25,135.1
1107.36,4.06,2.762,365.94,1501.89,2551.09,54.5
1402.27,4.166,2.941,582.16,1872.05,2932.55,145.9
1440.4,4.199,2.98,586.1,1938.29,2918.71,154.1
1139.38,4.057,2.769,375.13,1435.49,2500.77,47.8
1480.77,4.206,3.035,636.45,1972.56,3021.15,167.2
1048.92,4.011,2.739,336.19,1420.78,2435.64,24.8
1081.56,4.033,2.765,338.52,1433.95,2540.5,35.1
1123.68,4.049,2.74,323.04,1402.69,2458.5,32.1
1447.25,4.177,2.949,594.35,1931.49,2937.37,152.1
1329.89,4.131,2.886,525.21,1713.02,2798.58,111.6
1057.22,3.992,2.734,359.5,1389.21,2508.01,26.7
1135.6,4.082,2.81,399.97,1567.96,2647.01,75.4
1281.8,4.079,2.89,500.96,1691.02,2725.34,105.0
1029.17,3.998,2.726,291.14,1330.86,2353.34,15.1
1443.54,4.177,3.006,585.92,1891.07,2925.65,150.1
1474.48,4.174,2.913,566.61,1853.29,2821.17,136.8
1257.92,4.077,2.797,453.28,1640.63,2688.05,86.4
1549.95,4.201,3.06,624.08,1966.25,2989.27,164.4
1213.01,4.108,2.755,423.79,1479.86,2623.95,71.6
1475.32,4.184,3.105,660.49,1961.57,2917.95,167.3
